food_name,serving_size_g,calories,protein,fat,carbohydrates,sugar,sodium,fiber,calories_from_macro,protein_per_calorie,fat_per_calorie,carbs_per_calorie,calorie_category,is_high_protein,is_high_fiber,is_high_sodium
kue bingka tape,100.0,245.0,4.5,8.5,38.5,18.5,125.0,1.0,248.5,0.0184,0.0347,0.1571,sedang,0,0,0
kue bolu peca,100.0,295.0,4.5,9.5,47.5,22.5,145.0,1.5,293.5,0.0153,0.0322,0.161,sedang,0,0,0
kue bugis,100.0,215.0,3.5,6.5,18.5,16.5,75.0,1.5,146.5,0.0163,0.0302,0.086,sedang,0,0,0
kue bugis ketan hijau,100.0,215.0,3.5,6.5,36.5,16.5,75.0,1.5,218.5,0.0163,0.0302,0.1698,sedang,0,0,0
kue bugis ketan hitam,100.0,225.0,3.5,6.5,38.5,16.5,75.0,1.5,226.5,0.0156,0.0289,0.1711,sedang,0,0,0
kue bugis manis,100.0,215.0,3.5,6.5,36.5,16.5,75.0,1.5,218.5,0.0163,0.0302,0.1698,sedang,0,0,0
kue cantik manis,100.0,175.0,2.5,3.5,32.5,14.5,55.0,1.0,171.5,0.0143,0.02,0.1857,sedang,0,0,0
kue cantik manis hunkwe,100.0,175.0,2.5,3.5,32.5,14.5,55.0,1.0,171.5,0.0143,0.02,0.1857,sedang,0,0,0
kue cara,100.0,215.0,3.5,6.5,35.5,14.5,95.0,1.5,214.5,0.0163,0.0302,0.1651,sedang,0,0,0
kue carabikang,100.0,215.0,3.5,5.5,38.5,18.5,95.0,1.0,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
kue carabikang pelangi,100.0,215.0,3.5,5.5,38.5,18.5,95.0,1.0,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
kue cente manis,100.0,195.0,2.5,4.5,35.5,16.5,65.0,1.2,192.5,0.0128,0.0231,0.1821,sedang,0,0,0
kue cente manis pelangi,100.0,195.0,2.5,4.5,35.5,16.5,65.0,1.2,192.5,0.0128,0.0231,0.1821,sedang,0,0,0
kue cincin,100.0,285.0,4.5,8.5,45.5,18.5,95.0,1.5,276.5,0.0158,0.0298,0.1596,sedang,0,0,0
kue cubit,100.0,245.0,4.5,7.5,38.5,18.5,145.0,1.0,239.5,0.0184,0.0306,0.1571,sedang,0,0,0
kue cubit coklat,100.0,285.0,4.5,8.5,42.5,22.5,145.0,1.5,264.5,0.0158,0.0298,0.1491,sedang,0,0,0
kue cubit greentea,100.0,245.0,4.5,7.5,38.5,18.5,145.0,1.5,239.5,0.0184,0.0306,0.1571,sedang,0,0,0
kue cubit keju,100.0,295.0,5.5,9.5,42.5,18.5,245.0,1.0,277.5,0.0186,0.0322,0.1441,sedang,0,0,0
kue cubit pandan,100.0,245.0,4.5,7.5,38.5,18.5,145.0,1.0,239.5,0.0184,0.0306,0.1571,sedang,0,0,0
kue cucur,100.0,215.0,3.0,8.5,36.5,16.5,85.0,1.0,234.5,0.014,0.0395,0.1698,sedang,0,0,0
kue cucur banjar,100.0,215.0,3.0,6.5,36.5,16.5,85.0,1.0,216.5,0.014,0.0302,0.1698,sedang,0,0,0
kue cucur jakarta,100.0,215.0,3.0,6.5,36.5,16.5,85.0,1.0,216.5,0.014,0.0302,0.1698,sedang,0,0,0
kue cucur kawung,100.0,215.0,3.0,6.5,36.5,16.5,85.0,1.0,216.5,0.014,0.0302,0.1698,sedang,0,0,0
kue cucur ungu,100.0,215.0,3.0,6.5,36.5,16.5,85.0,1.0,216.5,0.014,0.0302,0.1698,sedang,0,0,0
kue dadar bandung,100.0,195.0,3.2,7.1,30.5,15.2,38.0,1.6,198.7,0.0164,0.0364,0.1564,sedang,0,0,0
kue dadar gulung labu,100.0,195.0,3.2,7.1,30.5,15.2,38.0,1.6,198.7,0.0164,0.0364,0.1564,sedang,0,0,0
kue dadar gulung pelangi,100.0,195.0,3.2,7.1,30.5,15.2,38.0,1.6,198.7,0.0164,0.0364,0.1564,sedang,0,0,0
kue dadar pandan,100.0,195.0,3.2,7.1,30.5,15.2,38.0,1.6,198.7,0.0164,0.0364,0.1564,sedang,0,0,0
kue garpu,100.0,425.0,6.5,14.5,65.5,1.5,285.0,1.5,418.5,0.0153,0.0341,0.1541,tinggi,0,0,0
kue gemblong,100.0,285.0,4.5,7.5,48.5,22.5,95.0,2.0,279.5,0.0158,0.0263,0.1702,sedang,0,0,0
kue gemblong manis,100.0,285.0,4.5,7.5,48.5,22.5,95.0,2.0,279.5,0.0158,0.0263,0.1702,sedang,0,0,0
kue keciput,100.0,425.0,8.5,14.5,60.5,18.5,95.0,2.5,406.5,0.02,0.0341,0.1424,tinggi,0,0,0
kue keciput wijen,100.0,425.0,8.5,14.5,60.5,18.5,95.0,2.5,406.5,0.02,0.0341,0.1424,tinggi,0,0,0
kue kembang waru,100.0,285.0,5.5,8.5,45.5,18.5,145.0,1.5,280.5,0.0193,0.0298,0.1596,sedang,0,0,0
kue keranjang,100.0,285.0,2.5,3.5,60.5,35.5,25.0,0.8,283.5,0.0088,0.0123,0.2123,sedang,0,0,0
kue keranjang nian gao,100.0,285.0,2.5,3.5,60.5,35.5,25.0,0.8,283.5,0.0088,0.0123,0.2123,sedang,0,0,0
kue klanting cilembu,100.0,285.0,4.5,6.5,50.5,14.5,95.0,1.5,278.5,0.0158,0.0228,0.1772,sedang,0,0,0
kue klepon ungu,100.0,175.0,2.5,3.8,32.5,18.5,22.0,0.7,174.2,0.0143,0.0217,0.1857,sedang,0,0,0
kue ku,100.0,235.0,4.5,5.5,40.5,18.5,65.0,1.5,229.5,0.0191,0.0234,0.1723,sedang,0,0,0
kue ku merah,100.0,235.0,4.5,5.5,40.5,18.5,65.0,1.5,229.5,0.0191,0.0234,0.1723,sedang,0,0,0
kue ku merah delima,100.0,235.0,4.5,5.5,40.5,18.5,65.0,1.5,229.5,0.0191,0.0234,0.1723,sedang,0,0,0
kue kunut,100.0,215.0,3.5,5.5,38.5,14.5,65.0,1.5,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
kue lampar,100.0,215.0,3.5,5.5,38.5,16.5,65.0,1.5,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
kue lapek,100.0,215.0,3.5,5.5,38.5,16.5,75.0,1.5,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
kue lapis ambon,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
kue lapis betawi,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
kue lapis hitam putih,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
kue lapis hunkwe,100.0,215.0,3.5,5.5,38.5,18.5,65.0,1.5,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
kue lapis ketan,100.0,215.0,3.5,4.5,38.5,14.5,65.0,1.5,208.5,0.0163,0.0209,0.1791,sedang,0,0,0
kue lapis ketan hitam,100.0,225.0,3.5,6.5,38.5,16.5,75.0,1.5,226.5,0.0156,0.0289,0.1711,sedang,0,0,0
kue lapis legit,100.0,225.0,3.5,7.5,35.5,18.5,85.0,0.8,223.5,0.0156,0.0333,0.1578,sedang,0,0,0
kue lapis nyonya,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
kue lapis pandan,100.0,235.0,3.5,6.5,42.5,18.5,65.0,1.5,242.5,0.0149,0.0277,0.1809,sedang,0,0,0
kue lapis sagu,100.0,285.0,3.5,7.5,50.5,22.5,65.0,1.0,283.5,0.0123,0.0263,0.1772,sedang,0,0,0
kue lapis surabaya,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
kue lapis surabaya coklat,100.0,295.0,5.5,10.5,45.5,24.5,95.0,1.0,298.5,0.0186,0.0356,0.1542,sedang,0,0,0
kue lapis tepung beras,100.0,235.0,3.5,6.5,42.5,18.5,65.0,1.5,242.5,0.0149,0.0277,0.1809,sedang,0,0,0
kue lontar papua,100.0,295.0,5.5,12.5,38.5,18.5,145.0,1.0,288.5,0.0186,0.0424,0.1305,sedang,0,0,0
kue lopis ketan,100.0,215.0,3.5,4.5,38.5,14.5,65.0,1.5,208.5,0.0163,0.0209,0.1791,sedang,0,0,0
kue lumpur durian,100.0,265.0,4.5,9.5,38.5,18.5,125.0,1.5,257.5,0.017,0.0358,0.1453,sedang,0,0,0
kue lumpur kentang,100.0,235.0,4.5,8.5,35.0,14.5,125.0,1.2,234.5,0.0191,0.0362,0.1489,sedang,0,0,0
kue lumpur kentang ayam,100.0,245.0,5.5,9.5,35.0,14.5,145.0,1.2,247.5,0.0224,0.0388,0.1429,sedang,0,0,0
kue lumpur labu kuning,100.0,235.0,4.5,8.5,35.0,14.5,125.0,1.5,234.5,0.0191,0.0362,0.1489,sedang,0,0,0
kue lumpur surga,100.0,245.0,4.5,8.5,35.0,14.5,125.0,1.2,234.5,0.0184,0.0347,0.1429,sedang,0,0,0
kue lupis,100.0,215.0,3.5,4.5,38.5,14.5,65.0,1.5,208.5,0.0163,0.0209,0.1791,sedang,0,0,0
kue lupis pulut,100.0,215.0,3.5,4.5,38.5,14.5,65.0,1.5,208.5,0.0163,0.0209,0.1791,sedang,0,0,0
kue maksuba,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
kue mangkok,100.0,195.0,2.5,4.5,35.5,18.5,75.0,1.0,192.5,0.0128,0.0231,0.1821,sedang,0,0,0
kue mangkok cinta,100.0,195.0,2.5,4.5,35.5,18.5,75.0,1.0,192.5,0.0128,0.0231,0.1821,sedang,0,0,0
kue mangkok pandan,100.0,195.0,2.5,4.5,35.5,18.5,75.0,1.0,192.5,0.0128,0.0231,0.1821,sedang,0,0,0
kue mochi sukabumi,100.0,235.0,3.5,5.5,42.5,18.5,65.0,1.5,233.5,0.0149,0.0234,0.1809,sedang,0,0,0
kue pia,100.0,285.0,4.5,8.5,48.5,18.5,95.0,2.0,288.5,0.0158,0.0298,0.1702,sedang,0,0,0
kue pia panada,100.0,285.0,6.5,9.5,42.5,18.5,145.0,1.5,281.5,0.0228,0.0333,0.1491,sedang,0,0,0
kue pisang keju,100.0,285.0,5.5,9.5,42.5,22.5,145.0,2.0,277.5,0.0193,0.0333,0.1491,sedang,0,0,0
kue pisang lapis,100.0,245.0,3.5,6.5,42.5,18.5,85.0,2.0,242.5,0.0143,0.0265,0.1735,sedang,0,0,0
kue pisang lapis pelangi,100.0,245.0,3.5,6.5,42.5,18.5,85.0,2.0,242.5,0.0143,0.0265,0.1735,sedang,0,0,0
kue pukis,100.0,285.0,5.5,9.5,42.5,18.5,165.0,1.0,277.5,0.0193,0.0333,0.1491,sedang,0,0,0
kue pukis coklat,100.0,305.0,5.5,9.5,47.5,24.5,165.0,1.0,297.5,0.018,0.0311,0.1557,tinggi,0,0,0
kue pukis kacang,100.0,305.0,6.5,11.5,42.5,18.5,165.0,2.5,299.5,0.0213,0.0377,0.1393,tinggi,0,0,0
kue pukis keju,100.0,315.0,6.5,10.5,45.5,22.5,245.0,1.0,302.5,0.0206,0.0333,0.1444,tinggi,0,0,0
kue pukis pisang,100.0,295.0,5.5,9.5,45.5,22.5,165.0,1.5,289.5,0.0186,0.0322,0.1542,sedang,0,0,0
kue pulut bakar,100.0,285.0,4.5,8.5,50.5,22.5,95.0,2.5,296.5,0.0158,0.0298,0.1772,sedang,0,0,0
kue putu ayu pandan,100.0,195.0,3.5,5.5,32.5,16.5,95.0,0.9,193.5,0.0179,0.0282,0.1667,sedang,0,0,0
kue putu bambu,100.0,195.0,2.5,5.5,32.5,14.5,85.0,1.0,189.5,0.0128,0.0282,0.1667,sedang,0,0,0
kue putu kayu manis,100.0,195.0,2.5,5.5,32.5,14.5,85.0,1.0,189.5,0.0128,0.0282,0.1667,sedang,0,0,0
kue putu manis bandung,100.0,175.0,2.5,5.5,30.5,14.5,65.0,1.0,181.5,0.0143,0.0314,0.1743,sedang,0,0,0
kue putu mayang,100.0,175.0,2.5,5.5,30.5,12.5,65.0,1.0,181.5,0.0143,0.0314,0.1743,sedang,0,0,0
kue putu mayang hijau,100.0,175.0,2.5,5.5,30.5,12.5,65.0,1.0,181.5,0.0143,0.0314,0.1743,sedang,0,0,0
kue putu mayang merah,100.0,175.0,2.5,5.5,30.5,12.5,65.0,1.0,181.5,0.0143,0.0314,0.1743,sedang,0,0,0
kue putu piring,100.0,195.0,2.5,5.5,32.5,14.5,85.0,1.0,189.5,0.0128,0.0282,0.1667,sedang,0,0,0
kue rangi,100.0,215.0,3.5,6.5,35.5,16.5,65.0,1.5,214.5,0.0163,0.0302,0.1651,sedang,0,0,0
kue talam coklat,100.0,245.0,3.5,7.5,38.5,18.5,85.0,1.0,235.5,0.0143,0.0306,0.1571,sedang,0,0,0
kue talam ebi,100.0,235.0,5.5,7.5,35.5,14.5,380.0,1.5,231.5,0.0234,0.0319,0.1511,sedang,0,0,0
kue talam pandan,100.0,215.0,3.5,6.5,35.5,16.5,85.0,1.0,214.5,0.0163,0.0302,0.1651,sedang,0,0,0
kue talam pisang,100.0,215.0,2.5,5.5,38.5,14.5,75.0,2.0,213.5,0.0116,0.0256,0.1791,sedang,0,0,0
kue talam ubi,100.0,215.0,3.5,6.5,35.5,16.5,85.0,1.0,214.5,0.0163,0.0302,0.1651,sedang,0,0,0
kue talam ubi ungu,100.0,215.0,2.5,5.5,38.5,14.5,75.0,2.0,213.5,0.0116,0.0256,0.1791,sedang,0,0,0
kue talam udang,100.0,245.0,6.5,8.5,35.5,14.5,380.0,1.5,244.5,0.0265,0.0347,0.1449,sedang,0,0,0
kue tat bengkulu,100.0,295.0,4.5,9.5,50.5,22.5,95.0,1.5,305.5,0.0153,0.0322,0.1712,sedang,0,0,0
kue terang bulan coklat,100.0,435.0,7.5,18.5,58.5,22.5,285.0,1.5,430.5,0.0172,0.0425,0.1345,tinggi,0,0,0
kue terang bulan kacang,100.0,445.0,9.5,19.5,60.5,18.5,285.0,2.5,455.5,0.0213,0.0438,0.136,tinggi,0,0,0
kue terang bulan keju,100.0,445.0,8.5,19.5,60.5,18.5,285.0,1.5,451.5,0.0191,0.0438,0.136,tinggi,0,0,0
kue terang bulan wijen,100.0,435.0,8.5,19.5,58.5,18.5,285.0,1.5,443.5,0.0195,0.0448,0.1345,tinggi,0,0,0
kue tete,100.0,285.0,4.5,8.5,45.5,18.5,95.0,1.5,276.5,0.0158,0.0298,0.1596,sedang,0,0,0
kue tetel,100.0,285.0,4.5,8.5,45.5,18.5,95.0,1.5,276.5,0.0158,0.0298,0.1596,sedang,0,0,0
kulit ayam,100.0,350.0,13.5,32.5,0.0,0.0,62.0,0.0,346.5,0.0386,0.0929,0.0,tinggi,0,0,0
kulit lumpia,100.0,295.0,8.5,1.0,60.5,0.5,280.0,1.0,285.0,0.0288,0.0034,0.2051,sedang,0,0,0
kulit melinjo,100.0,165.0,8.5,1.5,28.5,2.5,12.0,4.5,161.5,0.0515,0.0091,0.1727,sedang,0,0,0
kulit pangsit,100.0,305.0,9.5,1.5,60.5,0.5,280.0,1.5,293.5,0.0311,0.0049,0.1984,tinggi,0,0,0
kulit tahu kering,100.0,385.0,47.5,22.5,12.5,0.8,15.0,2.8,442.5,0.1234,0.0584,0.0325,tinggi,1,0,0
kunyit,100.0,354.0,7.8,9.9,64.9,3.2,38.0,21.1,379.9,0.022,0.028,0.1833,tinggi,0,1,0
kunyit bubuk,100.0,354.0,7.8,9.9,64.9,3.2,38.0,21.1,379.9,0.022,0.028,0.1833,tinggi,0,1,0
kunyit putih,100.0,245.0,6.5,8.5,48.5,2.5,35.0,18.5,296.5,0.0265,0.0347,0.198,sedang,0,1,0
kupa,100.0,50.0,0.7,0.3,12.5,7.5,3.0,2.0,55.5,0.014,0.006,0.25,rendah,0,0,0
kwetiau kering,100.0,357.0,6.4,1.6,78.5,0.5,25.0,1.0,354.0,0.0179,0.0045,0.2199,tinggi,0,0,0
labu kuning,100.0,26.0,1.0,0.1,6.5,2.8,1.0,0.5,30.9,0.0385,0.0038,0.25,rendah,0,0,0
labu siam,100.0,19.0,0.8,0.1,4.5,1.7,2.0,1.7,22.1,0.0421,0.0053,0.2368,rendah,0,0,0
lada hitam,100.0,251.0,10.4,3.3,63.9,0.6,20.0,25.3,326.9,0.0414,0.0131,0.2546,sedang,0,1,0
lada putih,100.0,296.0,10.4,2.1,68.6,0.0,5.0,26.2,334.9,0.0351,0.0071,0.2318,sedang,0,1,0
laksa betawi,100.0,295.0,11.5,13.5,32.5,2.5,720.0,1.8,297.5,0.039,0.0458,0.1102,sedang,0,0,1
laksan palembang,100.0,235.0,11.5,8.5,30.0,2.5,540.0,1.2,242.5,0.0489,0.0362,0.1277,sedang,0,0,0
lakso jambi,100.0,225.0,10.5,8.5,28.5,2.0,510.0,1.3,232.5,0.0467,0.0378,0.1267,sedang,0,0,0
lalampa,100.0,285.0,8.5,7.5,42.5,2.5,380.0,1.5,271.5,0.0298,0.0263,0.1491,sedang,0,0,0
lalap sunda,100.0,35.0,1.5,0.3,6.5,1.5,12.0,2.5,34.7,0.0429,0.0086,0.1857,rendah,0,0,0
langsat,100.0,58.0,0.8,0.3,14.5,8.0,5.0,2.2,63.9,0.0138,0.0052,0.25,rendah,0,0,0
lapa-lapa,100.0,285.0,7.5,7.5,42.5,2.5,380.0,1.5,267.5,0.0263,0.0263,0.1491,sedang,0,0,0
lapet,100.0,235.0,3.5,6.5,42.5,16.5,65.0,1.5,242.5,0.0149,0.0277,0.1809,sedang,0,0,0
lapis ngangkruk,100.0,285.0,4.5,9.5,45.5,22.5,95.0,1.0,285.5,0.0158,0.0333,0.1596,sedang,0,0,0
lawa kaltara,100.0,165.0,8.5,8.5,12.5,2.5,380.0,2.5,160.5,0.0515,0.0515,0.0758,sedang,0,0,0
lawar bali,100.0,215.0,11.5,12.5,14.5,2.5,480.0,3.5,216.5,0.0535,0.0581,0.0674,sedang,0,0,0
leci,100.0,66.0,0.8,0.4,16.5,15.2,1.0,1.3,72.8,0.0121,0.0061,0.25,rendah,0,0,0
lema bengkulu,100.0,165.0,8.5,5.5,18.5,4.5,380.0,3.0,157.5,0.0515,0.0333,0.1121,sedang,0,0,0
lemang,100.0,185.0,3.5,6.5,30.5,0.5,25.0,1.2,194.5,0.0189,0.0351,0.1649,sedang,0,0,0
lemang tapai bengkulu,100.0,215.0,4.5,5.5,38.5,14.5,25.0,1.5,221.5,0.0209,0.0256,0.1791,sedang,0,0,0
lemet,100.0,215.0,3.5,5.5,38.5,14.5,65.0,1.5,217.5,0.0163,0.0256,0.1791,sedang,0,0,0
lempah kuning bangka,100.0,145.0,15.5,6.5,6.5,1.5,520.0,1.8,146.5,0.1069,0.0448,0.0448,sedang,1,0,0
lemper abon sapi,100.0,245.0,9.5,8.5,30.5,1.5,480.0,1.0,236.5,0.0388,0.0347,0.1245,sedang,0,0,0
lemper ayam,100.0,215.0,8.5,6.5,31.5,1.5,380.0,1.0,218.5,0.0395,0.0302,0.1465,sedang,0,0,0
lengkuas,100.0,71.0,1.5,0.3,16.7,0.0,5.0,2.5,75.5,0.0211,0.0042,0.2352,rendah,0,0,0
leunca,100.0,32.0,3.5,0.5,5.5,1.0,10.0,2.8,40.5,0.1094,0.0156,0.1719,rendah,0,0,0
lidah sapi,100.0,235.0,16.0,18.5,0.5,0.0,85.0,0.0,232.5,0.0681,0.0787,0.0021,sedang,1,0,0
lobak merah umbi,100.0,16.0,0.7,0.1,3.4,1.9,39.0,1.6,17.3,0.0438,0.0062,0.2125,rendah,0,0,0
lobak putih sayur,100.0,18.0,0.6,0.1,4.1,1.9,21.0,1.6,19.7,0.0333,0.0056,0.2278,rendah,0,0,0
lobak putih umbi,100.0,18.0,0.6,0.1,4.1,1.9,21.0,1.6,19.7,0.0333,0.0056,0.2278,rendah,0,0,0
lobster,100.0,89.0,19.0,0.9,0.0,0.0,296.0,0.0,84.1,0.2135,0.0101,0.0,rendah,1,0,0
lokio,100.0,45.0,1.5,0.3,9.5,4.0,6.0,2.0,46.7,0.0333,0.0067,0.2111,rendah,0,0,0
lontong balap,100.0,245.0,9.5,7.5,36.5,2.0,520.0,2.0,251.5,0.0388,0.0306,0.149,sedang,0,0,0
lontong cap go meh,100.0,285.0,11.5,9.5,38.5,3.5,540.0,2.5,285.5,0.0404,0.0333,0.1351,sedang,0,0,0
lontong kupang,100.0,195.0,8.5,5.5,30.5,2.5,580.0,2.0,205.5,0.0436,0.0282,0.1564,sedang,0,0,0
lotek,100.0,145.0,6.5,8.5,13.0,3.0,410.0,3.2,154.5,0.0448,0.0586,0.0897,sedang,0,0,0
lumpia semarang,100.0,245.0,9.5,8.5,32.5,3.5,520.0,2.2,244.5,0.0388,0.0347,0.1327,sedang,0,0,0
lupis ketan ntb,100.0,215.0,3.5,4.5,38.5,14.5,65.0,1.5,208.5,0.0163,0.0209,0.1791,sedang,0,0,0
madu hutan,100.0,304.0,0.3,0.0,82.4,82.1,4.0,0.2,330.8,0.001,0.0,0.2711,tinggi,0,0,0
madu klanceng,100.0,285.0,0.4,0.0,78.5,76.5,5.0,0.3,315.6,0.0014,0.0,0.2754,sedang,0,0,0
malaka,100.0,28.0,0.6,0.2,6.5,4.0,3.0,1.5,30.2,0.0214,0.0071,0.2321,rendah,0,0,0
malbi palembang,100.0,285.0,17.5,18.5,8.5,2.5,520.0,1.2,270.5,0.0614,0.0649,0.0298,sedang,1,0,0
mamleh aceh,100.0,195.0,17.5,9.5,7.5,1.5,720.0,1.5,185.5,0.0897,0.0487,0.0385,sedang,1,0,1
manco,100.0,425.0,6.5,14.5,65.5,28.5,65.0,2.5,418.5,0.0153,0.0341,0.1541,tinggi,0,0,0
mandai,100.0,165.0,4.5,6.5,24.5,8.5,280.0,4.5,174.5,0.0273,0.0394,0.1485,sedang,0,0,0
mangga,100.0,60.0,0.8,0.4,15.0,13.7,1.0,1.6,66.8,0.0133,0.0067,0.25,rendah,0,0,0
mangga apel,100.0,55.0,0.8,0.4,14.0,12.0,1.0,1.7,62.8,0.0145,0.0073,0.2545,rendah,0,0,0
mangga arumanis probolinggo,100.0,60.0,0.8,0.4,15.0,13.5,1.0,1.6,66.8,0.0133,0.0067,0.25,rendah,0,0,0
mangga endog,100.0,60.0,0.8,0.4,15.0,13.0,1.0,1.6,66.8,0.0133,0.0067,0.25,rendah,0,0,0
mangga gadung,100.0,58.0,0.8,0.4,14.5,12.8,1.0,1.6,64.8,0.0138,0.0069,0.25,rendah,0,0,0
mangga gedong gincu,100.0,65.0,0.8,0.4,16.5,14.2,1.0,1.6,72.8,0.0123,0.0062,0.2538,rendah,0,0,0
mangga golek,100.0,65.0,0.8,0.4,16.5,14.5,1.0,1.6,72.8,0.0123,0.0062,0.2538,rendah,0,0,0
mangga harum manis,100.0,60.0,0.8,0.4,15.0,13.5,1.0,1.6,66.8,0.0133,0.0067,0.25,rendah,0,0,0
mangga indramayu,100.0,62.0,0.8,0.4,15.5,13.5,1.0,1.6,68.8,0.0129,0.0065,0.25,rendah,0,0,0
mangga kweni,100.0,60.0,1.0,0.4,15.0,12.5,1.0,1.8,67.6,0.0167,0.0067,0.25,rendah,0,0,0
mangga lalijiwo,100.0,62.0,0.8,0.4,15.5,13.0,1.0,1.6,68.8,0.0129,0.0065,0.25,rendah,0,0,0
mangga manalagi,100.0,58.0,0.8,0.4,14.5,12.5,1.0,1.6,64.8,0.0138,0.0069,0.25,rendah,0,0,0
mangga muda,100.0,35.0,0.6,0.2,8.5,4.5,2.0,2.5,38.2,0.0171,0.0057,0.2429,rendah,0,0,0
mangga pakel,100.0,58.0,0.7,0.4,14.5,12.5,1.0,1.5,64.4,0.0121,0.0069,0.25,rendah,0,0,0
mangga podang urang,100.0,56.0,0.7,0.4,14.5,12.0,1.0,1.5,64.4,0.0125,0.0071,0.2589,rendah,0,0,0
manggis,100.0,73.0,0.4,0.6,18.0,16.1,7.0,1.8,79.0,0.0055,0.0082,0.2466,rendah,0,0,0
manggis biru,100.0,73.0,0.4,0.6,18.0,16.0,7.0,1.8,79.0,0.0055,0.0082,0.2466,rendah,0,0,0
manggis ungaran,100.0,73.0,0.4,0.6,18.0,16.0,7.0,1.8,79.0,0.0055,0.0082,0.2466,rendah,0,0,0
manggulu sumba,100.0,285.0,4.5,7.5,50.5,22.5,35.0,2.5,287.5,0.0158,0.0263,0.1772,sedang,0,0,0
mangut lele,100.0,215.0,17.5,12.5,8.5,1.5,580.0,1.8,216.5,0.0814,0.0581,0.0395,sedang,1,0,0
mangut welut,100.0,235.0,18.5,14.5,7.5,1.5,540.0,1.5,234.5,0.0787,0.0617,0.0319,sedang,1,0,0
manisan cermai,100.0,145.0,0.4,0.3,36.5,28.5,8.0,1.5,150.3,0.0028,0.0021,0.2517,sedang,0,0,0
manisan kedondong,100.0,145.0,0.4,0.4,36.5,28.5,8.0,2.2,151.2,0.0028,0.0028,0.2517,sedang,0,0,0
manisan kolang-kaling,100.0,145.0,0.4,0.2,36.5,28.5,8.0,1.3,149.4,0.0028,0.0014,0.2517,sedang,0,0,0
manisan mangga,100.0,165.0,0.5,0.2,42.5,35.5,25.0,1.5,173.8,0.003,0.0012,0.2576,sedang,0,0,0
manisan nangka,100.0,245.0,1.5,0.6,60.5,50.5,8.0,1.5,253.4,0.0061,0.0024,0.2469,sedang,0,0,0
manisan pala,100.0,285.0,1.5,1.5,70.5,60.5,25.0,4.5,301.5,0.0053,0.0053,0.2474,sedang,0,0,0
manisan salak,100.0,165.0,0.9,0.4,42.5,35.5,8.0,1.2,177.2,0.0055,0.0024,0.2576,sedang,0,0,0
manuk napinadar,100.0,285.0,22.5,18.5,7.5,1.5,540.0,1.5,286.5,0.0789,0.0649,0.0263,sedang,1,0,0
margarin,100.0,717.0,0.2,80.5,0.8,0.5,750.0,0.0,728.5,0.0003,0.1123,0.0011,sangat tinggi,0,0,1
markisa,100.0,97.0,2.2,0.7,23.4,11.2,28.0,10.4,108.7,0.0227,0.0072,0.2412,rendah,0,1,0
markisa kuning,100.0,95.0,2.2,0.7,23.0,11.0,28.0,10.4,107.1,0.0232,0.0074,0.2421,rendah,0,1,0
markisa ungu,100.0,97.0,2.2,0.7,23.5,11.5,28.0,10.4,109.1,0.0227,0.0072,0.2423,rendah,0,1,0
martabak manis,100.0,430.0,7.1,18.2,58.9,18.4,285.0,1.8,427.8,0.0165,0.0423,0.137,tinggi,0,0,0
martabak manis coklat,100.0,435.0,7.1,18.2,58.9,18.4,285.0,1.8,427.8,0.0163,0.0418,0.1354,tinggi,0,0,0
martabak manis kacang,100.0,445.0,8.5,19.5,58.5,18.5,285.0,2.5,443.5,0.0191,0.0438,0.1315,tinggi,0,0,0
martabak manis keju,100.0,445.0,8.5,18.5,60.5,18.5,285.0,1.5,442.5,0.0191,0.0416,0.136,tinggi,0,0,0
martabak manis nutella,100.0,465.0,8.5,22.5,58.5,24.5,285.0,1.5,470.5,0.0183,0.0484,0.1258,tinggi,0,0,0
martabak manis pisang,100.0,425.0,7.5,17.5,60.5,22.5,285.0,2.5,429.5,0.0176,0.0412,0.1424,tinggi,0,0,0
martabak telur,100.0,325.0,14.5,18.5,25.5,2.0,520.0,1.2,326.5,0.0446,0.0569,0.0785,tinggi,0,0,0
martabak telur mini,100.0,295.0,12.5,16.5,25.5,2.0,480.0,1.2,300.5,0.0424,0.0559,0.0864,sedang,0,0,0
masak bumbu habang,100.0,215.0,16.5,9.5,7.5,1.5,540.0,1.5,181.5,0.0767,0.0442,0.0349,sedang,1,0,0
